"Segment","Page","URL Path","Sessions","Avg Scroll Depth","Monthly Active Users","# of Dead Clicks","Rage Clicks by Page"
"Everyone","Teacher Guides Pages","-","29,824","51%","-","1,453","31"
"Everyone","Lesson Plan Details","-","24,153","50%","2,695","2,406","14"
"Everyone","External Resources","-","19,996","65%","5,355","1,398","20"
"Everyone","News Article Pages","-","13,014","62%","10,128","5,574","38"
"Everyone","News Homepage","-","8,002","66%","6,471","478","46"
"Everyone","Homepage","-","7,518","41%","-","193","71"
"Everyone","Lesson Plans Homepage","-","6,665","70%","-","328","8"
"Everyone","Not defined","-","3,387","64%","359","563","21"
"Everyone","Lesson Plan Units","-","2,567","65%","-","93","3"
"Everyone","Search","-","1,194","66%","-","60","3"
"Everyone","Login","-","962","56%","-","28","5"
"Everyone","Teacher Guides Index","-","686","53%","-","11","-"
"Everyone","Professional Dev","-","641","57%","-","19","2"
"Everyone","About Us","-","552","56%","-","19","2"
"Everyone","Newsletter","-","452","61%","376","68","-"
"Everyone","Meet Team","-","449","77%","-","14","-"
"Everyone","Donate","-","441","52%","-","6","6"
"Everyone","Lesson Plans","-","439","70%","-","16","-"
"Everyone","Account","-","333","66%","-","29","1"
"Everyone","Partners","-","236","37%","-","6","-"
"Everyone","Careers","-","157","71%","-","2","-"
"Everyone","My Library","-","119","39%","-","3","-"
"Everyone","Teacher Guides Pages","/teacher-guides/earth-day-2026","3,971","52%","-","168","4"
"Everyone","Teacher Guides Pages","/teacher-guides/10-climate-change-games-for-the-classroom","2,881","42%","-","339","9"
"Everyone","Teacher Guides Pages","/teacher-guides/10-climate-change-lab-activities","2,743","33%","-","130","2"
"Everyone","Teacher Guides Pages","/teacher-guides/2024-earth-day-activity-guide-for-6-8","1,363","65%","-","48","2"
"Everyone","Teacher Guides Pages","/teacher-guides/7-climate-change-hands-on-activities-to-keep-kids-engaged","1,293","40%","-","64","2"
"Everyone","Teacher Guides Pages","/teacher-guides/writing-activities-for-earth-day","821","39%","-","24","1"
"Everyone","Teacher Guides Pages","/teacher-guides/free-ela-lesson-plans-for-teachers-3-5","808","54%","-","31","-"
"Everyone","Teacher Guides Pages","/teacher-guides/free-ela-lesson-plans","724","55%","-","6","1"
"Everyone","Teacher Guides Pages","/teacher-guides/2024-earth-day-activity-guide-for-3-5","713","54%","-","16","-"
"Everyone","Teacher Guides Pages","/teacher-guides/free-ela-lesson-plans-for-teachers-9-12","684","59%","-","12","-"
"Everyone","Teacher Guides Pages","/teacher-guides/free-ela-lesson-plans-for-teachers-6-8","641","67%","-","14","-"
"Everyone","Teacher Guides Pages","/teacher-guides/human-impacts-on-the-environment-lesson-plans","639","40%","-","16","-"
"Everyone","Teacher Guides Pages","/teacher-guides/2025-middle-school-earth-day-activities-&-worksheets","593","71%","-","18","-"
"Everyone","Teacher Guides Pages","/teacher-guides/climate-change-debate-topics","580","57%","-","20","-"
