name,value
earth day,643
climate change,259
climate,81
food,81
art,74
poetry,65
science,62
weather,57
plants,57
ai,49
water,47
africa,46
bees,43
renewable energy,41
artificial intelligence,41
trees,35
outdoors,35
invasive species,35
rainforest,35
soil,34
recycling,33
rain forest,30
ocean,29
music,27
math,27
human impact,27
earth,27
plastic,26
ocean resource,26
earth day 2026,25
energy,24
states of matter,24
environmental justice,23
food waste,23
clİmate,23
environmental science,21
sustainability,21
biodiversity,21
pollution,20
climate emotions,20
deforestation,20
geography,20
carbon footprint,20
watershed,19
compost,19
carbon,18
pollinators,18
health,18
biomimicry,18
ocean acidification,17
extreme weather,17
maine,17
are there toxic chemicals in people's bodies?,17
maths,16
spanish,16
game,16
games,16
space,16
bee,15
recycle,15
video,15
greenwashing,15
climate justice,15
reading,15
earth day crossword,14
indigenous people tropical rain forest,14
engineering,14
insects,14
atmosphere pollution,14
solutions,14
biomes,14
west,13
plant,13
carbon cycle,13
animals,13
mental health,13
ocean and weather,13
human body,13
penguins,13
indigenous,12
ocean trash,12
artifical intelligence,12
rivers,12
answer keys,12
engineer,12
drought,12
climate migration,12
agriculture,12
new haven,12
wind,12
polution,12
food insecurity,11
marine mammals,11
is climate change real,11
gas-powered cars,11
coal,11
earth and space science,11
clean energy,11
green spaces,10
plastics,10
