name,value
food,19
art,19
food waste,14
deforestation,13
penguins,12
invasive species,12
geography,10
spanish,10
recycling,10
drought,9
insects,9
rainforest,9
environmental justice,9
ow do  you  give  a  full  grown  rhinoceros  it  medicine very  very  carefully,9
extreme weather,8
fruits,8
africa,8
biodiversity,7
gen ai,7
autism,7
circular economy,7
spring,7
seeds,7
states of matter,7
artificial intelligence,7
plastic,6
mangrove,6
compost,6
fashion,6
bees,6
floods,6
biomimicry,6
arbor day,6
coffee,6
science,6
wabanaki,6
field notes on climate,6
answer keys,6
food production,6
earthday,5
answers,5
aquaculture,5
plastic pollution,5
birding by the ear and beyond,5
denial,5
equality,5
albedo,5
esl,5
writing,5
butterfly,5
psychology,5
crossword,5
sdg,5
season,5
bee,5
plastics,5
carbon footprint,5
reading,5
oyster,5
ela,5
video,5
insect,4
la salud del suelo y la agricultura,4
compost gas,4
diet,4
hattie carthan,4
transpiration,4
thinkific,4
choral,4
bugs,4
2015,4
volcano,4
space,4
geoengineering,4
agriculture,4
war of 1812,4
swordfish,4
biomes,4
posters,4
explorer,4
wellness,4
line plots,4
recycle,4
soil,4
fish,4
macromolecules,3
math,3
misconception,3
transportation,3
carbon runner,3
wangari,3
overfishing,3
globalization,3
peppered moth,3
nature based solutions,3
juliano,3
carbon cycle,3
hibernation,3
music,3
acidification of the ocean,3
