name,value
US,183757
SG,43762
CA,15635
CN,7837
HK,5529
VN,3895
PH,2861
IN,2830
IL,2688
GB,2436
PK,1890
AU,1691
DE,1396
ID,1220
RU,1159
JP,1103
FR,1098
CO,1064
MX,1018
IT,956
BR,885
IE,793
TR,791
ZA,757
ES,690
\N,681
PE,665
AE,605
MY,582
PL,490
NL,387
NZ,361
AR,354
TH,354
RO,317
TW,310
MA,309
SE,285
CL,272
KE,267
KR,262
PR,244
RS,241
PT,237
SK,233
BD,230
CZ,213
NG,199
NP,185
EG,181
SA,178
HU,166
HN,163
UA,162
CH,159
BE,156
GR,147
AT,145
NO,128
BM,125
EC,115
KZ,113
DZ,111
GH,110
VE,109
SI,105
IQ,100
GT,94
UZ,92
LB,92
DK,92
QA,89
RW,84
JO,83
GE,83
PA,81
BZ,75
BG,73
OM,70
HR,69
MT,67
EE,67
KH,65
PY,61
LV,60
TT,59
XK,58
CR,55
LT,53
AZ,53
BN,52
TN,52
UY,50
MN,49
AM,47
LK,45
AL,44
JM,42
NI,42
MK,41
ME,37
GA,37
MU,36
KW,31
FI,30
UG,28
CI,22
MD,22
BO,22
DO,21
BY,20
PG,19
BS,19
AS,18
GU,18
KG,17
LU,17
BJ,16
BH,16
KY,16
PW,16
BB,15
SY,15
MM,14
GQ,13
BA,13
BT,12
ET,12
MO,12
PS,12
SV,12
SN,11
AD,10
LA,10
SL,10
TZ,10
SS,8
AO,8
CG,8
LI,8
BL,7
PF,7
CM,7
ZM,7
LY,6
MF,6
TL,6
BW,5
GY,5
GM,5
MH,4
GL,4
DM,4
MR,4
NA,4
FO,4
YE,4
GP,4
LR,4
MV,4
ZW,3
MW,3
GN,3
AW,3
SD,2
VU,2
SC,2
TM,2
SZ,2
AF,2
AG,2
ZZ,2
ML,2
VI,2
MG,2
FJ,2
IR,2
MQ,2
CW,2
GD,2
SR,2
FM,2
CU,2
SO,2
SB,1
CY,1
WS,1
TJ,1
TG,1
